event_type,event_timestamp,example_number,prompt_tokens,completion_tokens,total_tokens,llm_name,tool_name,function_name,function_id,parent_function_name,parent_function_id,UUID,framework,NOVA-Event-ID,NOVA-Requests-Remaining-In-Event,NOVA-Time-To-Next-Event,NOVA-Time-To-Event-End,NOVA-Predicted-OSL,NOVA-Time-To-Session-End
LLM_NEW_TOKEN,1765872293.9417043,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5191.579341888428,11850.889205932617,,13751.708030700684
LLM_NEW_TOKEN,1765872293.9427435,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5190.540075302124,11849.849939346313,,13750.66876411438
LLM_NEW_TOKEN,1765872293.957772,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5175.511598587036,11834.821462631226,,13735.640287399292
LLM_NEW_TOKEN,1765872293.958009,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5175.274610519409,11834.584474563599,,13735.403299331665
LLM_NEW_TOKEN,1765872293.970636,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5162.647724151611,11821.9575881958,,13722.776412963867
LLM_NEW_TOKEN,1765872293.9714012,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5161.882400512695,11821.192264556885,,13722.011089324951
LLM_NEW_TOKEN,1765872293.9812987,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5151.984930038452,11811.294794082642,,13712.113618850708
LLM_NEW_TOKEN,1765872293.9816096,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5151.674032211304,11810.983896255493,,13711.80272102356
LLM_NEW_TOKEN,1765872293.9948597,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5138.423919677734,11797.733783721924,,13698.55260848999
LLM_NEW_TOKEN,1765872293.9951017,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5138.181924819946,11797.491788864136,,13698.310613632202
LLM_NEW_TOKEN,1765872294.0086086,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5124.675035476685,11783.984899520874,,13684.80372428894
LLM_NEW_TOKEN,1765872294.0087545,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5124.529123306274,11783.838987350464,,13684.65781211853
LLM_NEW_TOKEN,1765872294.0235445,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5109.739065170288,11769.048929214478,,13669.867753982544
LLM_NEW_TOKEN,1765872294.0249755,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5108.3080768585205,11767.61794090271,,13668.436765670776
LLM_NEW_TOKEN,1765872294.0371459,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5096.137762069702,11755.447626113892,,13656.266450881958
LLM_NEW_TOKEN,1765872294.0373862,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5095.897436141968,11755.207300186157,,13656.026124954224
